time,total_open,cluster_0_open,cluster_1_open,cluster_2_open,cluster_3_open,total_exposure_value,hour,session
2025-06-05 11:00:00,0,0,0,0,0,0.0,11,London
2025-06-05 12:00:00,0,0,0,0,0,0.0,12,NY Overlap
2025-06-05 13:00:00,0,0,0,0,0,0.0,13,NY Overlap
2025-06-05 14:00:00,0,0,0,0,0,0.0,14,NY Overlap
2025-06-05 15:00:00,0,0,0,0,0,0.0,15,NY Overlap
2025-06-05 16:00:00,0,0,0,0,0,0.0,16,NY Overlap
2025-06-05 17:00:00,0,0,0,0,0,0.0,17,Late US
2025-06-05 18:00:00,0,0,0,0,0,0.0,18,Late US
2025-06-05 19:00:00,2,0,0,2,0,47.489999999999995,19,Late US
2025-06-05 20:00:00,2,0,0,2,0,47.489999999999995,20,Late US
2025-06-05 21:00:00,3,1,0,2,0,59.48,21,Late US
2025-06-05 22:00:00,3,1,0,2,0,59.48,22,Late US
2025-06-05 23:00:00,3,1,0,2,0,59.48,23,Late US
2025-06-06 00:00:00,3,1,0,2,0,59.48,0,Asian
2025-06-06 01:00:00,3,1,0,2,0,59.48,1,Asian
2025-06-06 02:00:00,3,1,0,2,0,59.48,2,Asian
2025-06-06 03:00:00,3,1,0,2,0,59.48,3,Asian
2025-06-06 04:00:00,3,1,0,2,0,59.48,4,Asian
2025-06-06 05:00:00,3,1,0,2,0,59.48,5,Asian
2025-06-06 06:00:00,3,1,0,2,0,59.48,6,Asian
2025-06-06 07:00:00,3,1,0,2,0,59.48,7,Asian
2025-06-06 08:00:00,3,1,0,2,0,59.48,8,London
2025-06-06 09:00:00,1,1,0,0,0,11.99,9,London
2025-06-06 10:00:00,1,1,0,0,0,11.99,10,London
2025-06-06 11:00:00,1,1,0,0,0,11.99,11,London
2025-06-06 12:00:00,1,1,0,0,0,11.99,12,NY Overlap
2025-06-06 13:00:00,1,1,0,0,0,11.99,13,NY Overlap
2025-06-06 14:00:00,1,1,0,0,0,11.99,14,NY Overlap
2025-06-06 15:00:00,1,1,0,0,0,11.99,15,NY Overlap
2025-06-06 16:00:00,1,1,0,0,0,11.99,16,NY Overlap
2025-06-06 17:00:00,1,1,0,0,0,11.99,17,Late US
